법안코드,법안명,제안자,접수일자,prediction
PRC_Q2T1M0X1D0M4W1T4M3O0R3Y4C7O3D2,저작권법 전부개정법률안(도종환의원 등 13인),도종환,2021-01-15,0.2870321
PRC_I2S1D0X1R1V2G1U3L3D8M4C6A0L8V8,사립학교법 일부개정법률안(김철민의원등10인),김철민,2021-01-15,0.13898003
PRC_W2O0C1B2F3U0T1F1Z4R3N3P1E1S7B1,건강가정기본법 일부개정법률안(정청래의원 등 10인),정청래,2021-01-15,0.33916447
PRC_N2C0T1Y2T3F0V1N2K0J0N2Z2M1X7S1,한부모가족지원법 일부개정법률안(정청래의원 등 10인),정청래,2021-01-15,0.28120986
PRC_A2S0C1E2F3C0K1S1Q4W8E0X0T8E0Z5,다문화가족지원법 일부개정법률안(정청래의원 등 10인),정청래,2021-01-15,0.29957774
PRC_H2U0O1I2U2E8T1S8F2C1M4I4M1E2A8,가맹사업거래의 공정화에 관한 법률 일부개정법률안(배진교의원등10인),배진교,2021-01-15,0.100782625
PRC_D2G0Y1D2A2T9L0E9H4C1J4D7P1F3D0,상가건물 임대차보호법 일부개정법률안(배진교의원 등 10인),배진교,2021-01-15,0.10939921
PRC_A2V1M0C1G1Y2X1K3K4L0S2K6Q9W7M3,학교 밖 청소년 지원에 관한 법률 일부개정법률안(김철민의원 등 11인),김철민,2021-01-15,0.12154938
PRC_A2U1Y0L1F1Z5A1P6O4R7O5O9Q6D7H1,공직선거법 일부개정법률안(진선미의원 등 10인),진선미,2021-01-15,0.07655161
PRC_D2L1U0D1P1N5T1Q6D4L0O5T9V9Q8V8,방송통신위원회의 설치 및 운영에 관한 법률 일부개정법률안(진선미의원 등 10인),진선미,2021-01-15,0.18551444
PRC_N2F1R0F1D1I5F1Y6B3K8R5J3F8B0X1,도로교통법 일부개정법률안(진선미의원 등 11인),진선미,2021-01-15,0.18107732
PRC_D2T1Z0N1P1L5F1Z6F3A5W4M5F1N7V7,형사소송법 일부개정법률안(진선미의원 등 10인),진선미,2021-01-15,0.16193521
PRC_E2X1P0E1P1B5V1J6A1R6G3K4P5B7D5,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안(백혜련의원 등 10인),백혜련,2021-01-15,0.2795092
PRC_R2I1O0O1Q1G5Q1B6L1G6P1T2N0H8T2,인삼산업법 일부개정법률안(윤준병의원 등 10인),윤준병,2021-01-15,0.18196793
PRC_X2N0B1W2V1D5G1H5R4D3Y0F9U5D0G0,공직선거법 일부개정법률안(서범수의원등10인),서범수,2021-01-15,0.10319296
PRC_V2K1S0R1Y1X4D1E1N3U6Y3H4Z5P1M7,식품위생법 일부개정법률안(서영석의원 등 14인),서영석,2021-01-15,0.21155341
PRC_G2W1H0N1U0Y4I1U5E0P4Q5J2Y4L9Y1,대외무역법 일부개정법률안(김정호의원 등 10인),김정호,2021-01-15,0.37960103
PRC_K2F1G0R1R1B4Y1I3P4M6G4L8R1X2Z6,국유재산특례제한법 일부개정법률안(강병원의원등11인),강병원,2021-01-15,0.59100723
PRC_U2P1T0X1N1M5W1P5X2N1B2Z0Q6X3H6,디지털포용법안(강병원의원 등 15인),강병원,2021-01-15,0.12368159
PRC_N2B1T0K1E1B4J1C1G3I5A0B1Z1L6U9,감염병의 예방 및 관리에 관한 법률 일부개정법률안(서영석의원등19인),서영석,2021-01-15,0.14967595
PRC_R2Q1F0Y1S1B5L1N4H5V5D0M8Z2O8N8,주택법 일부개정법률안(양경숙의원 등 11인),양경숙,2021-01-15,0.23324837
PRC_D2U1H0R1Z0V8W1D0R3L9G2U0O1N0L8,실종아동등의 보호 및 지원에 관한 법률 일부개정법률안(안규백의원등15인),안규백,2021-01-15,0.27379438
PRC_R2X1H0U1I1H5W1K4V3F7Q4T5M7L0A7,전자서명법 일부개정법률안(김예지의원 등 12인),김예지,2021-01-15,0.096854806
PRC_S2Y1Y0G1Z1R5V1P4G3I4U2L3G5E6M3,건설산업기본법 일부개정법률안(김희국의원 등 15인),김희국,2021-01-15,0.11356752
PRC_Z2Z1M0S1Y1N5W1F4D3E2O3B9V2C3W8,아동복지법 일부개정법률안(김예지의원 등 10인),김예지,2021-01-15,0.2457084
PRC_O2H1O0U1G0F4O1N5E0Z7P1P4S2D3O3,영유아보육법 일부개정법률안(김정호의원등12인),김정호,2021-01-15,0.15412878
PRC_O2F1O0P1Z0L7O2W1R0T9L3I2D3C4E9,장애인복지법 일부개정법률안(이상헌의원등11인),이상헌,2021-01-15,0.09972239
PRC_F2H1T0L1C1J5F1M3L5Q7J5O3H8C1B4,방송법 일부개정법률안(홍정민의원 등 10인),홍정민,2021-01-15,0.1922858
PRC_B2D1N0V1N0V7X2M1O1W0A4X5Q4J5D1,학교체육 진흥법 일부개정법률안(이상헌의원등10인),이상헌,2021-01-15,0.11892747
PRC_J2L1J0F1D0C4T1X5T0N6H3Z3A6O6K5,아동복지법 일부개정법률안(김정호의원 등 16인),김정호,2021-01-15,0.14086112
PRC_A2N1H0O1T1V5P1I1H3J2F2H0K9Y8K3,형법 일부개정법률안(안규백의원 등 11인),안규백,2021-01-15,0.14076373
