법안코드,법안명,제안자,접수일자,prediction
PRC_F2O1W0J1I0F4E1K7N1D0I0N7C2S2T1,고위공직자범죄수사처장후보자(김진욱) 인사청문요청안(대통령),,2021-01-04,0.2520675
PRC_L2M1H0V1E0J4M1U8B4W3F1X8C6O3D1,주차장법 일부개정법률안(조오섭의원 등 11인),조오섭,2021-01-04,0.1736083
PRC_S2B1R0U1A0K4T1L8N3O1T2W0G1Z3R3,철도산업발전기본법 일부개정법률안(조오섭의원 등 12인),조오섭,2021-01-04,0.28033465
PRC_S2N1X0H1K0E4S1H8U2W9G1F9G4S1O1,공동주택관리법 일부개정법률안(조오섭의원 등 12인),조오섭,2021-01-04,0.100864634
PRC_K2M1P0O1X0J4O1Q8S2B6T2T0B4H7J4,주거급여법 일부개정법률안(조오섭의원 등 11인),조오섭,2021-01-04,0.205552
PRC_L2R1T0R1T0V4J1I8J2R4K0V9F8O1B8,공유수면 관리 및 매립에 관한 법률 일부개정법률안(조오섭의원 등 12인),조오섭,2021-01-04,0.113925
PRC_P2E1T0F1L0I4W1B8I1E8B1O2W2A1N1,도로교통법 일부개정법률안(조오섭의원 등 11인),조오섭,2021-01-04,0.21173996
PRC_E2Z1Q0T1G0T4G1B8I1S1G4T6S9Z5Y8,도로교통법 일부개정법률안(조오섭의원 등 13인),조오섭,2021-01-04,0.10634117
PRC_S2Q1T0O1A0A4R1L8E0T8P0T1Z8C0U8,식품안전기본법 일부개정법률안(조오섭의원 등 10인),조오섭,2021-01-04,0.14914174
PRC_C2T1U0Y1O0B4R1G8Y0U6A5J3F3G7F3,중증장애인생산품 우선구매 특별법 일부개정법률안(조오섭의원 등 12인),조오섭,2021-01-04,0.21043168
PRC_H2U1L0S1L0O4O1T8R0V5L2M9G5M3X2,재난 및 안전관리 기본법 일부개정법률안(조오섭의원 등 11인),조오섭,2021-01-04,0.32930064
PRC_Z2L1U0M1U0D4I1P8V0L1W0V1R7W5S3,다문화가족지원법 일부개정법률안(조오섭의원 등 13인),조오섭,2021-01-04,0.26658627
PRC_U2K1X0A1B0E4J1P7U5Y8S4E3E1L6E6,화물자동차 운수사업법 일부개정법률안(조오섭의원 등 11인),조오섭,2021-01-04,0.1360707
PRC_B2I1T0O1O0X4D1U6V4V1K0T7D6G3E6,군형법 일부개정법률안(한기호의원 등 10인),한기호,2021-01-04,0.050530523
